date,engine,id,mode,query,type
21:57:16   5/13/2018,google,186,timed,New Bill,query
21:57:08   5/13/2018,google,185,timed,new 100 dollar bill,query
21:57:01   5/13/2018,google,184,timed,new 100,query
21:56:52   5/13/2018,google,183,timed,new 100 dollar,query
21:56:45   5/13/2018,google,182,timed,craigslist,query
21:56:37   5/13/2018,google,181,timed,m.i.a.,query
21:56:27   5/13/2018,google,180,timed,Dell,query
21:56:19   5/13/2018,google,179,timed,kelley blue book,query
21:56:10   5/13/2018,google,178,timed,blackberry pearl,query
21:56:01   5/13/2018,google,177,timed,nascar,query
21:55:52   5/13/2018,google,176,timed,dorothy provine,query
21:55:42   5/13/2018,google,175,timed,Gang Starr,query
21:55:32   5/13/2018,google,174,timed,borders,query
21:55:23   5/13/2018,google,173,timed,beastie boys,query
21:55:14   5/13/2018,google,172,timed,acm awards,query
21:55:05   5/13/2018,google,171,timed,yahoo,query
21:54:58   5/13/2018,google,170,timed,dell,query
21:54:50   5/13/2018,google,169,timed,space shuttle discovery,query
21:54:42   5/13/2018,google,168,timed,einstein horse,query
21:54:33   5/13/2018,google,167,timed,walmart,query
21:54:23   5/13/2018,google,166,timed,Rolling Stone Magazine,query
21:54:15   5/13/2018,google,165,timed,amazon,query
21:54:08   5/13/2018,google,164,timed,face transplant,query
21:53:58   5/13/2018,google,163,timed,blackberry,query
21:53:51   5/13/2018,google,162,timed,pampers,query
21:53:44   5/13/2018,google,161,timed,offshore drilling,query
